,s,id,var,;,:,Integer,Boolean,begin,end,:=,read,write,if,then,else,while,do,+,-,*,l,d,>,>=,<,<=,=,TRUE,FALSE,$,PR,BL,VDS,VD',VD,ID',TY,CS,S',S,SS,AS,RS,WS,SSS,IF,WHS,E,AE,T,F,L,IL,BEP,BLL,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,s7,,,,,s6,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,4,,,,,,,,,,,,,,,,,,
3,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,
4,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
6,s19,,,,,,s6,,,s20,s21,s22,,,s23,,,,,,,,,,,,,,,,,,,,,,18,9,10,11,13,14,15,12,16,17,,,,,,,,,
7,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,25,26,,,,,,,,,,,,,,,,,,,,
8,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,s29,,,,,r12,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,r14,,,,,r14,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,r15,,,,,r15,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,r16,,,,,r16,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,r17,,,,,r17,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,r18,,,,,r18,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,r23,,,,,r23,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,r24,,,,,r24,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,r25,,,,,r25,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,s32,,,,,,,,,,,,,,,,,,,s34,,,,,,,s36,s37,,,,,,,,,,,,,,,,,,,,,,,33,,,35,
22,s43,,,,,,,,,,,,,,,,,,,s44,,,,,,,s36,s37,,,,,,,,,,,,,,,,,,,,40,41,42,,,38,39,
23,s43,,,,,,,,,,,,,,,,,,,s44,,,,,,,s36,s37,,,,,,,,,,,,,,,,,,,,40,41,42,,,45,39,
24,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,s46,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,s27,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,
28,r11,,r11,,,,,r11,,,,,,r11,,,,,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,
29,s19,,,,,,s6,,,s20,s21,s22,,,s23,,,,,,,,,,,,,,,,,,,,,,18,49,10,11,13,14,15,12,16,17,,,,,,,,,
30,s43,,,,,,,,,,,,,,,,,,,s44,,,,,,,s36,s37,,,,,,,,,,,,,,,,,,,50,51,41,42,,,52,39,
31,,,r20,,,,,r20,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,r21,,,,,r21,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,r22,,,,,r22,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,r38,,,,,r38,,,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,r39,,,,,r39,,,,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,r48,,,,,r48,,,,,r48,r48,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,r49,,,,,r49,,,,,r49,r49,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,s53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,r41,,,,,r41,,,,,r41,r41,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,s59,s60,,,,s54,s55,s56,s57,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,r33,,,,,r33,,,,,r33,r33,,r33,r33,r33,s61,,,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,r35,,,,,r35,,,,,r35,r35,,r35,r35,r35,r35,,,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,r36,,,,,r36,,,,,r36,r36,,r36,r36,r36,r36,,,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,r37,,,,,r37,,,,,r37,r37,,r37,r37,r37,r37,,,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,25,26,,,,,,,,,,,,,,,,,,,,
47,,,,,s65,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,
48,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,r13,,,,,r13,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,r19,,,,,r19,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,r29,,,,,r29,,,,,,r29,,,s59,s60,,,,s54,s55,s56,s57,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,r30,,,,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,s19,,,,,,s6,,,s20,s21,s22,,,s23,,,,,,,,,,,,,,,,,,,,,,18,,67,11,13,14,15,12,16,17,,,,,,,,,
54,s43,,,,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,41,42,,,,,
55,s43,,,,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,41,42,,,,,
56,s43,,,,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,41,42,,,,,
57,s43,,,,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,41,42,,,,,
58,s43,,,,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,41,42,,,,,
59,s43,,,,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,42,,,,,
60,s43,,,,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,42,,,,,
61,s43,,,,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,
62,s19,,,,,,s6,,,s20,s21,s22,,,s23,,,,,,,,,,,,,,,,,,,,,,18,,76,11,13,14,15,12,16,17,,,,,,,,,
63,,,r5,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,r6,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,r9,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,r10,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,s29,,,,,r26,,,,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,r43,,,,,r43,,,,,r43,r43,,r43,s59,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,r44,,,,,r44,,,,,r44,r44,,r44,s59,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,r45,,,,,r45,,,,,r45,r45,,r45,s59,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,r46,,,,,r46,,,,,r46,r46,,r46,s59,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,r47,,,,,r47,,,,,r47,r47,,r47,s59,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,r31,,,,,r31,,,,,r31,r31,,r31,r31,r31,s61,,,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,r32,,,,,r32,,,,,r32,r32,,r32,r32,r32,s61,,,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,r34,,,,,r34,,,,,r34,r34,,r34,r34,r34,r34,,,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
