s,l,var,;,:,I,B,begin,end,:=,read,write,if,then,else,while,do,+,-,*,d,>,>=,<,<=,=,TRUE,FALSE,$,PR,ID,LD,BL,VDS,VD',VD,ID',TY,CS,S',S,SS,AS,RS,WS,SSS,IF,WHS,E,AE,T,F,L,IL,BEP,BLL,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2,,s9,,,,,s8,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,,,6,,,,,,,,,,,,,,,,,,
3,r1,r1,r1,r1,,,r1,r1,r1,,,,r1,r1,,r1,r1,r1,r1,,r1,r1,r1,r1,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,s11,r2,r2,r2,,,r2,r2,r2,,,,r2,r2,,r2,r2,r2,r2,,r2,r2,r2,r2,r2,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,5,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
8,s4,,,,,,s8,,,s24,s25,s26,,,s27,,,,,,,,,,,,,,,23,3,,,,,,,22,13,14,15,17,18,19,16,20,21,,,,,,,,,
9,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3,,,28,29,30,,,,,,,,,,,,,,,,,,,,
10,r3,r3,r3,r3,,,r3,r3,r3,,,,r3,r3,,r3,r3,r3,r3,,r3,r3,r3,r3,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
12,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,s33,,,,,r15,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,r17,,,,,r17,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,r18,,,,,r18,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,r19,,,,,r19,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,r20,,,,,r20,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,r21,,,,,r21,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,r26,,,,,r26,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,r27,,,,,r27,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,r28,,,,,r28,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3,,,,,,,,,,,,,,,,,,,,,,,,,
